Mesec;Dan;Ura;Temperatura;RelativnaVlaznost;GlobalnoSevanje;HitrostVetra;SmerVetra
1;1;0;-0.7;97;0;0.9;285
1;1;1;-2.1;96;0;0.9;271
1;1;2;-3.1;96;0;0.4;214
1;1;3;-3.8;97;0;0.2;286
1;1;4;-4.8;97;0;0.2;130
1;1;5;-5.8;96;0;0.5;112
1;1;6;-6.6;96;0;0.5;81
1;1;7;-6.6;96;0;0.5;332
1;1;8;-6.5;96;1;0.4;263
1;1;9;-6.6;96;16;0.3;243
1;1;10;-6.3;96;45;0.4;119
1;1;11;-6.0;97;83;0.4;149
1;1;12;-5.2;97;141;0.4;62
1;1;13;-4.6;97;164;1.0;63
1;1;14;-3.0;98;244;0.6;73
1;1;15;-1.7;97;221;0.8;70
1;1;16;-1.4;93;129;0.2;48
1;1;17;-3.0;92;5;0.1;249
1;1;18;-4.5;95;0;0.6;282
1;1;19;-5.4;96;0;0.5;275
1;1;20;-6.1;96;0;0.5;302
1;1;21;-6.6;96;0;0.5;275
1;1;22;-7.0;96;0;0.6;290
1;1;23;-7.4;95;0;0.4;286
1;2;0;-7.6;95;0;0.6;274
1;2;1;-8.0;94;0;0.6;268
1;2;2;-8.1;94;0;0.5;285
1;2;3;-7.9;94;0;0.4;281
1;2;4;-8.5;94;0;0.2;151
1;2;5;-8.7;94;0;0.5;110
1;2;6;-6.7;96;0;0.6;355
1;2;7;-5.4;97;0;0.7;237
1;2;8;-5.1;97;1;1.3;258
1;2;9;-4.6;96;7;0.6;267
1;2;10;-4.1;96;14;0.4;181
1;2;11;-3.8;96;23;0.5;110
1;2;12;-3.3;96;36;0.4;84
1;2;13;-2.6;96;42;0.1;272
1;2;14;-2.1;96;44;0.2;224
1;2;15;-1.7;95;40;0.5;238
1;2;16;-1.5;96;20;0.7;235
1;2;17;-1.6;96;2;0.4;188
1;2;18;-1.7;97;0;0.2;170
1;2;19;-1.8;97;0;0.7;277
1;2;20;-2.7;97;0;0.2;346
1;2;21;-4.8;98;0;0.4;278
1;2;22;-3.7;98;0;0.3;147
1;2;23;-3.0;98;0;0.3;100
1;3;0;-2.9;98;0;0.6;103
1;3;1;-3.3;98;0;0.8;87
1;3;2;-4.1;98;0;1.5;299
1;3;3;-4.4;98;0;1.0;297
