Mesec;Dan;Ura;Temperatura;RelativnaVlaznost;GlobalnoSevanje;HitrostVetra;SmerVetra
1;1;0;-2.0;92;0;1.0;259
1;1;1;-2.7;92;0;1.3;264
1;1;2;-3.4;92;0;0.6;239
1;1;3;-4.2;94;0;0.4;33
1;1;4;-4.9;95;0;0.5;28
1;1;5;-6.4;97;0;0.7;41
1;1;6;-6.4;99;0;0.5;44
1;1;7;-6.2;99;0;0.6;1
1;1;8;-6.2;98;1;0.7;346
1;1;9;-6.1;98;13;0.6;346
1;1;10;-5.8;98;37;0.6;4
1;1;11;-5.6;98;67;0.9;17
1;1;12;-5.1;98;110;0.5;292
1;1;13;-3.9;98;279;0.8;20
1;1;14;-3.4;97;259;0.9;43
1;1;15;-2.3;92;183;0.9;73
1;1;16;-1.5;86;75;0.7;72
1;1;17;-2.2;90;5;0.6;63
1;1;18;-2.9;94;0;0.5;38
1;1;19;-3.3;96;0;0.7;47
1;1;20;-3.7;97;0;0.4;70
1;1;21;-4.0;97;0;0.7;44
1;1;22;-4.1;98;0;0.6;20
1;1;23;-4.6;98;0;0.6;39
1;2;0;-5.2;98;0;0.7;57
1;2;1;-5.3;99;0;0.4;7
1;2;2;-5.3;99;0;0.6;87
1;2;3;-5.2;99;0;0.5;24
1;2;4;-4.6;99;0;0.4;224
1;2;5;-4.3;99;0;0.7;14
1;2;6;-4.3;98;0;1.0;42
1;2;7;-4.0;99;0;0.8;359
1;2;8;-4.0;98;1;0.5;343
1;2;9;-3.7;97;9;0.5;21
1;2;10;-3.4;97;21;0.9;37
1;2;11;-3.1;96;28;0.6;80
1;2;12;-2.6;95;45;0.5;77
1;2;13;-2.3;95;54;0.7;197
1;2;14;-2.0;95;55;0.4;333
1;2;15;-1.6;95;55;0.7;51
1;2;16;-1.3;95;26;0.4;79
1;2;17;-1.2;95;3;0.4;168
1;2;18;-1.3;96;0;0.2;15
1;2;19;-1.1;97;0;0.8;245
1;2;20;-1.1;97;0;0.7;258
1;2;21;-0.9;95;0;0.6;140
1;2;22;-1.0;96;0;0.5;73
1;2;23;-1.3;97;0;0.9;47
1;3;0;-1.4;98;0;0.6;31
1;3;1;-1.4;98;0;0.5;11
1;3;2;-1.8;98;0;0.3;65
1;3;3;-2.3;99;0;0.9;28
1;3;4;-3.0;99;0;1.1;356
1;3;5;-3.4;100;0;0.7;350
1;3;6;-3.5;100;0;0.9;4
1;3;7;-3.7;100;0;1.0;34
1;3;8;-4.0;100;1;1.0;25
1;3;9;-3.7;99;15;0.7;3
1;3;10;-3.5;99;43;0.8;47
1;3;11;-3.2;98;84;0.9;81
1;3;12;-2.8;95;131;1.3;54
1;3;13;-2.5;92;149;0.9;17
1;3;14;-2.1;89;202;0.9;1
1;3;15;-1.7;87;188;1.3;33
1;3;16;-2.2;90;85;2.1;42
1;3;17;-3.2;96;6;1.4;42
1;3;18;-3.6;97;0;1.3;342
1;3;19;-4.1;98;0;0.9;6
1;3;20;-4.4;99;0;0.9;52
1;3;21;-4.7;99;0;0.7;60
1;3;22;-4.7;99;0;0.4;54
1;3;23;-4.5;99;0;0.6;164
1;4;0;-4.6;99;0;1.0;217
1;4;1;-4.9;99;0;1.1;288
1;4;2;-5.2;99;0;1.2;294
1;4;3;-5.2;99;0;0.5;338
1;4;4;-5.5;98;0;0.8;44
1;4;5;-5.7;97;0;1.1;331
1;4;6;-6.0;97;0;1.1;341
1;4;7;-6.4;97;0;1.1;347
1;4;8;-6.5;97;1;1.2;2
1;4;9;-6.9;96;15;1.1;33
1;4;10;-7.2;96;30;1.2;345
1;4;11;-7.1;95;101;1.1;8
1;4;12;-6.6;94;146;1.2;28
1;4;13;-5.9;91;101;1.4;128
1;4;14;-5.4;89;101;1.2;116
1;4;15;-4.9;87;89;1.5;62
1;4;16;-5.1;88;60;1.8;33
1;4;17;-5.3;89;6;1.6;9
1;4;18;-5.3;90;0;1.7;358
1;4;19;-5.3;90;0;1.7;343
1;4;20;-5.3;90;0;1.7;334
1;4;21;-5.1;90;0;1.8;337
1;4;22;-5.1;89;0;1.6;339
1;4;23;-5.0;90;0;1.3;342
1;5;0;-5.0;89;0;1.3;338
1;5;1;-4.9;88;0;1.4;331
1;5;2;-4.9;87;0;1.0;323
1;5;3;-4.9;86;0;0.9;318
1;5;4;-4.8;85;0;1.0;348
1;5;5;-4.7;83;0;1.3;329
1;5;6;-4.8;81;0;1.6;339
1;5;7;-4.9;81;0;1.6;340
1;5;8;-4.9;81;1;1.7;354
1;5;9;-5.1;81;15;2.0;333
1;5;10;-5.0;80;62;2.0;346
1;5;11;-4.8;77;118;1.7;339
1;5;12;-4.6;76;173;1.2;354
1;5;13;-4.1;76;200;1.3;50
1;5;14;-3.8;76;263;1.5;44
1;5;15;-3.8;77;103;1.2;39
1;5;16;-3.9;78;54;1.1;33
1;5;17;-4.1;80;6;1.4;41
1;5;18;-4.0;80;0;0.8;6
1;5;19;-4.1;81;0;1.1;353
1;5;20;-4.7;85;0;1.3;353
1;5;21;-5.0;86;0;1.3;4
1;5;22;-5.7;88;0;1.0;2
1;5;23;-6.4;90;0;0.7;54
1;6;0;-6.7;92;0;0.6;27
1;6;1;-6.6;92;0;1.1;45
1;6;2;-6.5;91;0;0.9;39
1;6;3;-6.2;90;0;0.8;35
1;6;4;-5.9;89;0;0.8;22
1;6;5;-5.9;88;0;0.6;330
1;6;6;-6.2;89;0;0.5;17
1;6;7;-6.6;91;0;0.6;352
1;6;8;-6.1;91;2;1.0;43
1;6;9;-5.8;90;41;0.6;352
1;6;10;-5.0;87;81;1.0;37
1;6;11;-4.2;84;110;0.8;42
1;6;12;-3.0;81;121;0.7;34
1;6;13;-1.4;78;91;0.6;2
1;6;14;-0.1;77;79;0.3;111
1;6;15;1.8;78;54;1.9;207
1;6;16;2.8;79;32;3.0;222
1;6;17;2.8;82;3;2.5;227
1;6;18;2.6;85;0;1.6;201
1;6;19;2.6;87;0;1.8;199
1;6;20;2.7;88;0;1.6;204
1;6;21;3.1;88;0;1.7;203
1;6;22;2.6;89;0;1.0;61
1;6;23;2.1;92;0;0.9;54
1;7;0;2.3;92;0;0.9;338
1;7;1;4.1;88;0;2.3;289
1;7;2;4.8;85;0;2.3;291
1;7;3;5.2;84;0;2.2;279
1;7;4;5.2;85;0;2.1;273
1;7;5;5.4;84;0;1.3;286
1;7;6;5.6;86;0;2.2;258
1;7;7;5.9;84;0;1.8;252
1;7;8;5.8;83;0;1.8;266
1;7;9;5.2;87;3;0.6;2
1;7;10;5.1;89;10;0.5;285
1;7;11;5.8;87;15;2.2;296
1;7;12;6.5;85;18;3.1;288
1;7;13;7.0;84;49;3.6;265
1;7;14;7.5;81;20;2.8;281
1;7;15;7.2;85;9;3.3;281
1;7;16;7.4;83;4;2.7;276
1;7;17;7.8;82;1;2.5;278
1;7;18;7.7;83;0;1.9;276
1;7;19;7.7;82;0;2.6;285
1;7;20;7.9;81;0;2.7;281
1;7;21;8.3;81;0;2.6;273
1;7;22;8.5;82;0;2.9;255
1;7;23;8.4;84;0;3.6;264
1;8;0;8.0;89;0;3.5;255
1;8;1;8.1;88;0;2.9;243
1;8;2;8.1;86;0;2.9;268
1;8;3;8.2;84;0;2.6;271
1;8;4;8.2;86;0;3.1;270
1;8;5;7.8;89;0;3.0;271
1;8;6;8.1;88;0;2.8;267
1;8;7;8.0;87;0;2.2;284
1;8;8;7.9;90;0;1.9;274
1;8;9;8.0;91;2;2.1;284
1;8;10;7.6;94;6;1.9;295
1;8;11;7.4;94;9;1.4;309
1;8;12;7.9;92;14;2.5;286
1;8;13;8.6;86;27;2.7;284
1;8;14;9.4;81;68;2.8;253
1;8;15;9.6;80;29;2.2;264
1;8;16;9.2;83;14;1.7;290
1;8;17;8.0;89;0;2.3;328
1;8;18;7.9;91;0;2.1;322
1;8;19;8.0;91;0;1.4;294
1;8;20;7.6;92;0;0.9;83
1;8;21;8.3;93;0;1.7;280
1;8;22;9.1;88;0;2.5;275
1;8;23;9.1;87;0;2.3;279
1;9;0;9.1;86;0;2.2;280
1;9;1;9.2;85;0;2.8;266
1;9;2;9.1;86;0;2.4;276
1;9;3;8.8;88;0;1.8;291
1;9;4;8.7;88;0;2.0;285
